verse_key,ngc,fr
RUT.1.1,"Ta ehole edaaka ba djudji badaledja Isalɛlɛ, ndja eso ekwa ta ekomi. Iboa moomi omɔti o Bɛtɛlɛmɛ e Yudha akɛɛ na mwali o nde ko na bana ba nde baami babae; adaa moo ehole mokɛkɛ ta ekomi e Moabi .","Du temps des juges, il y eut une famine dans le pays. Un homme de Bethléhem de Juda partit, avec sa femme et ses deux fils, pour faire un séjour dans le pays de Moab."
RUT.1.2,"Kombe e moomi omina Elimɛlɛkɛ, mwali o nde Naomi ko bana ba nde baami: Mahalɔni na Kiliɔni; badaaka bato ba ibota di Epalata iho ta Bɛtɛlɛmɛ e Yudha. Ta ehole edaaka ibo ta ekomi e Moabi.","Le nom de cet homme était Élimélec, celui de sa femme Naomi, et ses deux fils sappelaient Machlon et Kiljon; ils étaient Éphratiens, de Bethléhem de Juda. Arrivés au pays de Moab, ils y fixèrent leur demeure."
RUT.1.3,Elimɛlɛkɛ agwa ko Naomi adika iyo mɛnɛ na bana ba nde baami babae.,"Élimélec, mari de Naomi, mourut, et elle resta avec ses deux fils."
RUT.1.4,"Bana ibia baasɔ bali ba ekomi e Moabi; omɔti kombe e nde Olɔpa, okina Luta. Bayeyoa iho bokimana bianga doomi.","Ils prirent des femmes Moabites, dont lune se nommait Orpa, et lautre Ruth, et ils habitèrent là environ dix ans."
RUT.1.5,Mahalɔni na Kiliɔni baso bagwa pongono. Naomi adika iyo mɛnɛ pɛpɛ mwana ko pɛpɛ moomi.,"Machlon et Kiljon moururent aussi tous les deux, et Naomi resta privée de ses deux fils et de son mari."
RUT.1.6,Iboa Naomi aoka bo Ta ekomi e Moabi Kumu akɔmedji bato ba nde ko abapa leka loboyaka. Asɛlingoa adonge ta ekomi iyena engbanga emɔti na bakio ba nde babae.,"Puis elle se leva, elle et ses belles-filles, afin de quitter le pays de Moab, car elle apprit au pays de Moab que lÉternel avait visité son peuple et lui avait donné du pain."
RUT.1.7,"Akina esika ehelamaka iyo akɛɛ engbanga na bakio bande babae bɛngi bayane ta ekomi e Yudha, endelo na ndjea.","Elle sortit du lieu quelle habitait, accompagnée de ses deux belles-filles, et elle se mit en route pour retourner dans le pays de Juda."
RUT.1.8,iboa Naomi abatɔndea bo: «Moto na moto ayane ta dii nange ende. Kina bo Kumu aokɔmeeni bopele mondumba mokɔmea ino mbi mɛnɛ kona ibia bagwa!.,"Naomi dit alors à ses deux belles-filles: Allez, retournez chacune à la maison de sa mère! Que lÉternel use de bonté envers vous, comme vous lavez fait envers ceux qui sont morts et envers moi!."
RUT.1.9,"Kina bo Kumu akamoe engi moto abolodje moki ko aokɔmeeni bopele ta ndako dji bono!» Ngɔngɔ djimina abadinga ekɔpi bɛngi babɔtɔe, endelo ibo baso bayea bobuke mɛnɛ.","Que lÉternel vous fasse trouver à chacune du repos dans la maison dun mari! Et elle les baisa. Elles élevèrent la voix, et pleurèrent;."
RUT.1.10,ko babala na nde bo: «Ngasa! Lokɛkɛdea na wɛ engbanga emɔti tee mbunoko ta dii bato ba wɛ!».,"et elles lui dirent: Non, nous irons avec toi vers ton peuple."
RUT.1.11,"Naomi abasɔmbedja bo: «Yanani ta dii ino, bana ba mbi ba bali. Tina ekimanakadeani na nu nda? Nabwaniti bobota naikina bana baami bɛngi baosɔeni .","Naomi, dit: Retournez, mes filles! Pourquoi viendriez-vous avec moi? Ai-je encore dans mon sein des fils qui puissent devenir vos maris?."
