verse_key,ngc,fr
RUT.1.1,"Isolo dii lanɔkɔ ta ehole ɛlɔndɔkɔ badjudji Isalɛlɛ. Ta ehole ena, ndja enɛnɛ ɛkwa ta ngando. Bea moomi omɔti ɔ Bɛtɛlɛmɛ ɛ Yuda engbanga na mwali ɔ nde ko na bana ba nde baami babae, bakɛɛ adaa ta ngando ɛ Moaba.","Du temps des juges, il y eut une famine dans le pays. Un homme de Bethléhem de Juda partit, avec sa femme et ses deux fils, pour faire un séjour dans le pays de Moab."
RUT.1.2,"Kombe ɛ moomi ona Elimelɛkɛ, ɛ mwali ɔ nde Naomi ko dja bana ba nde baami babae Malone na Kilione; badaka bato ba ibota la Efalata ta Bɛtɛlɛmɛ ɛ Yuda. Baimea ta Moaba ko badaa ena.","Le nom de cet homme était Élimélec, celui de sa femme Naomi, et ses deux fils sappelaient Machlon et Kiljon; ils étaient Éphratiens, de Bethléhem de Juda. Arrivés au pays de Moab, ils y fixèrent leur demeure."
RUT.1.3,"Ngɔngɔ djia, Elimelɛkɛ, moomi ɔ Naomi agwa ko Naomi adika na bana ba nde baami babae.","Élimélec, mari de Naomi, mourut, et elle resta avec ses deux fils."
RUT.1.4,"Ngɔngɔ dja maswi bana bia baosɔ baseka bali ba Moaba. Omɔti kombe ɛ nde Olepa, ko okina Luta. Banɛngɛdja oho mbuti na mbua doomi.","Ils prirent des femmes Moabites, dont lune se nommait Orpa, et lautre Ruth, et ils habitèrent là environ dix ans."
RUT.1.5,"Malone na Kilione bagwa koko. Naomi adikaa yo buki, pɛpɛ bana ko pɛpɛ moomi.","Machlon et Kiljon moururent aussi tous les deux, et Naomi resta privée de ses deux fils et de son mari."
RUT.1.6,"Oho ta Moaba, Naomi aoka boo Kumu adoa akɔmɛdja bato ba nde na ndjia ɛ obapa mia ma oya. Na bea Naomi asalingoa tina ɛ okina Moaba engbanga na bakio ba nde babae.","Puis elle se leva, elle et ses belles-filles, afin de quitter le pays de Moab, car elle apprit au pays de Moab que lÉternel avait visité son peuple et lui avait donné du pain."
RUT.1.7,"Engbanga na bakio ba nde babae, Naomi adonga ta esika ɛdaka yo tina ɛ osɔmbɔ ta Yuda.","Elle sortit du lieu quelle habitait, accompagnée de ses deux belles-filles, et elle se mit en route pour retourner dans le pays de Juda."
RUT.1.8,"Endolo Naomi abala na bakio ba nde bali babae boo: «Hadɛdi, bana ba mbai bali, sɔmbɔni, moto na moto odii nango . Yɛɛ bo Kumu akɔe na nu mingandji moda makɔɔ no odii bia ibagwa ko odii mbai.","Naomi dit alors à ses deux belles-filles: Allez, retournez chacune à la maison de sa mère! Que lÉternel use de bonté envers vous, comme vous lavez fait envers ceux qui sont morts et envers moi!."
RUT.1.9,Yɛɛ bo Kumu apɛ enɔli odii omɔti na omɔti ɔ boono odiha esika ɛ iheme ta ndako ɛ moomi.» Bea ababhimba. Endolo ibo basusu babae babanga oyea na ngulu.,"Que lÉternel vous fasse trouver à chacune du repos dans la maison dun mari! Et elle les baisa. Elles élevèrent la voix, et pleurèrent;."
RUT.1.10,Ngɔngɔ djia babala na Naomi boo: «Pɛpɛ! Lakeke na wɛ ta ngando ɛ wɛ!».,"et elles lui dirent: Non, nous irons avec toi vers ton peuple."
RUT.1.11,Endolo Naomi abala na bu boo: «Bana ba mbai bali sɔmbɔni ta ndako dja boono. Tina ɛpalaka no ɔkimanenini nda? Nawalea bota koko bana baami ibahɔni oosɔni?.,"Naomi, dit: Retournez, mes filles! Pourquoi viendriez-vous avec moi? Ai-je encore dans mon sein des fils qui puissent devenir vos maris?."
RUT.1.12,"Yanani odii no, bana ba mbai bali. Naimei mobange nawetelea bala koko. Ko noko nakabala boo: Nadii oko na elɛndɛ ɛ obota, ko bulu bu mɛɛnɛ, nadalea na moomi ko naboti bana baami.","Retournez, mes filles, allez! Je suis trop vieille pour me remarier. Et quand je dirais: Jai de lespérance; quand cette nuit même je serais avec un mari, et que jenfanterais des fils."
RUT.1.13,oombaleani boo bakandoe? Olonaleani obala baami bakina tina ɛ bobo? Pɛpɛ! Bana ba mbai bali! Nadii na boyo bonɛnɛ onɔdja ino! Tina ɛ Kumu aokedjaini saya enɛnɛ mɛɛnɛ.».,"attendriez-vous pour cela quils eussent grandi, refuseriez-vous pour cela de vous marier? Non, mes filles! Car à cause de vous je suis dans une grande affliction de ce que la main de lÉternel sest étendue contre moi."
RUT.1.14,"Bea bakio ba nde babae oyea koko. Ta suka Olopa abhimba okio ba nde tina ɛ obɔtɔnɔ, endolo Luta alona obɔtɔnɔ nɔbɔ nde.","Et elles élevèrent la voix, et pleurèrent encore. Orpa baisa sa belle-mère, mais Ruth sattacha à elle."
