fra	nnb
Où ces photos ont-elles été prises ?	Bisosekanio bino bimiribawa hayi  ?
Prenez-en un quatre fois par jour, après les repas.	Mubye mukimya kw’ekighuma ngendo kani, oko kiro mwabirya.
J'ai besoin de quelqu'un avec qui parler.	Nama lagh’okomundu werikania naye.
Il a violé la loi.	Sialita siky’omughambo.
Est-ce que la porte était fermée ?	Olú̧kyô lwanabya lukingire ?
J'apprécie les échecs.	Ngatsemera obutatoka.
Je lui ai demandé son nom.	Munga mubulay’erina liwe.
Donnez une chance à quelqu'un d'autre.	Mutasya watikya n’owundi.
Le livre que j'ai acheté est sur la table.	Ekitabu ekyo nilya ghula kiny’oko mesa.
Mon ordinateur a cessé de fonctionner il y a quelques jours.	Ekombiotya yagh’eno siyitasya kola hamahw’ebiro ngabyenebyo.
Tom ne sait pas où il est né.	Yo Toma syaasi nga butirawahi.
Il nous faut tous apprendre à faire face à cette situation.	Kitolere itwigha eriyikakirya oko mwatsy’oyu.
Y a-t-il des plantes auxquelles vous soyez allergiques ?	Han’ebibaya ebyanga kukola nabi ?
Comment puis-je choisir un poisson frais?	Nanga sombol’erihere ryo nyithi?
Apporte-moi sa tête.	Ndeter’omutwe wiwe.
Vous pouvez faire ce qui vous chante.	Wangana kola ekyowanzire.
Prends tes cachets !	Unyw’amabaly’aghu !
C'est un joueur de tennis.	Nimusati w’etinishi.
Son père travaille à la banque.	Tata wiwe aka sib’oko bhángi.
Il est vraiment sans cœur.	Syawite mutima.
Je n'ai pas de plaintes.	Sinanga yighungumula.
Je dois m'excuser auprès de Tom.	Nanga sab’obughanyiryi bw’oko Toma.
Je pense sérieusement à déménager à Boston.	Alinga ngendi ḩ́ú̧mir'e Bostoni.
Ton amitié importe.	Obwirabwaghu butolere.
Je pense toujours que nous aurions dû inviter Tom à venir avec nous.	Nikinalengekanaya nga twangasire kughuma tuna Toma.
Il n'est pas digne de toi.	Syakutolere.
Je rêvais de devenir mannequin.	Ingananz’eribya kiminyikalyo omomyambalire y’ebindu bya makasini.
Elle n'a que quelques années de plus que moi.	Mwaliwetu oyu  anyi labiry’ebirimo birebe.
Une compréhension des gens est l'arme la plus puissante que vous puissiez détenir.	Erihulikirirana lya bandu ni mbundu yi lengir’esyo mbundu syosi.
Je n'ai rien de mieux à faire.	Sihali kindi kyuwene naga syakola.
Ne crie pas, ou tu es mort.	Wama laka, iwamakwa.
