fra	swc	swc_clean
Je vais en cours en bus.	Nataka kukimbilia gari.	Nataka kukimbilia gari.
N'oublie pas de poster cette lettre sur le chemin de l'école.	Usi sahau ku weka hiyo barua mu njia yako ya kuenda ku masomo.	Usi sahau ku weka hiyo barua mu njia yako ya kuenda ku masomo.
Il peut vraiment être fier d'un fils aussi brillant.	Anaweza kujisikia raha kwasababu ya mutoto wa akili.	Anaweza kujisikia raha kwasababu ya mutoto wa akili.
Ma mère se lève plus tôt que moi.	Mama yangu ana hamu kaga mbele yangu.	Mama yangu ana hamu kaga mbele yangu.
Tom, c'est mon cousin.	Tom ni binamu yangu.	Tom ni binamu yangu.
Je t'épouserai.	Nita ku howa.	Nita ku howa.
Combien d'hommes avez-vous tués ?	Ulisha huwa watu ngapi?	Ulisha huwa watu ngapi?
En parlant de films, pourquoi n'irions-nous pas au cinéma ce soir?	Kusema sababu ya simu, sababu ya nini hata enda ku sinema hii jioni?	Kusema sababu ya simu, sababu ya nini hata enda ku sinema hii jioni?
Tu es encore plus naïf que je ne le pensais.	Ungali una ogopa si kama vile nili fikiria.	Ungali una ogopa si kama vile nili fikiria.
Elle passe plus du tiers de son temps à de la paperasse.	Alipoteza muda wake mingi ku wapiga picha.	Alipoteza muda wake mingi ku wapiga picha.
Je veux une seconde opinion.	Nataka maoni ingine.	Nataka maoni ingine.
Il part à huit heures.	Ana enda saa mbili ya asubui.	Ana enda saa mbili ya asubui.
Nous n'avons pas eu beaucoup de pluie cette année.	Hatukuwa na mvua mingi hii mwaka.	Hatukuwa na mvua mingi hii mwaka.
J'étais toujours bon en maths.	Nilikuwa najua hesabu.	Nilikuwa najua hesabu.
Moi aussi, j'ai été invité ici.	Hata mie, nili alikwa hapa.	Hata mie, nili alikwa hapa.
Je l'ai rencontré en train d'étudier.	Nili mu kutana anasoma.	Nili mu kutana anasoma.
Le chien de Tom s'est fait renverser par un camion.	imbwa ya Tom ili angushwa na gari.	imbwa ya Tom ili angushwa na gari.
Tom a perdu trois fils à la guerre.	Tom ali poteza watoto tatu mu vita.	Tom ali poteza watoto tatu mu vita.
Merci pour le chocolat. Il était délicieux.	Asante ku chokoleti. Ilikuwa tamu.	Asante ku chokoleti. Ilikuwa tamu.
Je te rendrai visite un jour dans le futur proche.	Nita kutembelea siku za karibu.	Nita kutembelea siku za karibu.
Quelle longueur fait ce pont ?	Kilalo hiki kiko na urefu gani?	Kilalo hiki kiko na urefu gani?
Il y a encore du travail à faire.	Bado kuna kazi ya kufanya.	Bado kuna kazi ya kufanya.
Elle travaille pour une grande compagnie américaine.	Anafanya kazi na shirika kubwa ya wa marekani.	Anafanya kazi na shirika kubwa ya wa marekani.
