fra	swc	swc_clean
Où ces photos ont-elles été prises ?	Fasi gani hizi picha zimekamatiwa?	Fasi gani hizi picha zimekamatiwa?
Prenez-en un quatre fois par jour, après les repas.	Kamata moya mara ine kwa siku, kisha kumaliza kula.	Kamata moya mara ine kwa siku, kisha kumaliza kula.
J'ai besoin de quelqu'un avec qui parler.	Niko na lazima ya mutu mwenyi ndaongea naye.	Niko na lazima ya mutu mwenyi ndaongea naye.
Il a violé la loi.	Alivunja sheria.	Alivunja sheria.
Est-ce que la porte était fermée ?	Mulango ilikuwa nafungiwa?	Mulango ilikuwa nafungiwa?
J'apprécie les échecs.	Ninafurahiya kushindwa.	Ninafurahiya kushindwa.
Je lui ai demandé son nom.	Nilimuuliza jina yake	Nilimuuliza jina yake
Donnez une chance à quelqu'un d'autre.	Mupatie mtu mwengineye bahati.	Mupatie mtu mwengineye bahati.
Le livre que j'ai acheté est sur la table.	Kitabu kyenyi niliuza kiko ku meza.	Kitabu kyenyi niliuza kiko ku meza.
Mon ordinateur a cessé de fonctionner il y a quelques jours.	Ordinateur yangu haitumike kunapita siku kidogo.	Ordinateur yangu haitumike kunapita siku kidogo.
Tom ne sait pas où il est né.	Tom hajuwi fasi kwenyi alizaliwa.	Tom hajuwi fasi kwenyi alizaliwa.
Il nous faut tous apprendre à faire face à cette situation.	Sisi wote tunapashwa jifunza namna gani tutapiganisha hii hali.	Sisi wote tunapashwa jifunza namna gani tutapiganisha hii hali.
Y a-t-il des plantes auxquelles vous soyez allergiques ?	Kuna mimea yenye inakuleteaka kuwashiwa?	Kuna mimea yenye inakuleteaka kuwashiwa?
Comment puis-je choisir un poisson frais?	Namna gani njo ndaweza chagula samaki yenyi ingali ya muzuri?	Namna gani njo ndaweza chagula samaki yenyi ingali ya muzuri?
Apporte-moi sa tête.	Nileteye kicwa yake.	Nileteye kicwa yake.
Vous pouvez faire ce qui vous chante.	Unaweza kufanya ngisi unajisikia.	Unaweza kufanya ngisi unajisikia.
Prends tes cachets !	Kamata dawa zako!	Kamata dawa zako!
C'est un joueur de tennis.	Ni muchezaji wa tenisi.	Ni muchezaji wa tenisi.
Son père travaille à la banque.	Baba yake anatumika ku banki.	Baba yake anatumika ku banki.
Il est vraiment sans cœur.	Hana hata roho.	Hana hata roho.
Je n'ai pas de plaintes.	Sina malalamiko.	Sina malalamiko.
Je dois m'excuser auprès de Tom.	Ninapashwa kuomba msamaha mbele ya Tom.	Ninapashwa kuomba msamaha mbele ya Tom.
Je pense sérieusement à déménager à Boston.	Niko nawaza kabisa kama ndahamia Boston.	Niko nawaza kabisa kama ndahamia Boston.
Ton amitié importe.	Urafiki wako ni wa maana.	Urafiki wako ni wa maana.
Je pense toujours que nous aurions dû inviter Tom à venir avec nous.	Ningali nawaza kama tulipashwaka alika Tom aende na siye.	Ningali nawaza kama tulipashwaka alika Tom aende na siye.
Il n'est pas digne de toi.	Yeye hakustahili kwako.	Yeye hakustahili kwako.
Je rêvais de devenir mannequin.	Nilikuwaka na ndoto ya kuwa mannequin.	Nilikuwaka na ndoto ya kuwa mannequin.
Elle n'a que quelques années de plus que moi.	Ikona miaka kidogo tu zaidi yangu.	Ikona miaka kidogo tu zaidi yangu.
Une compréhension des gens est l'arme la plus puissante que vous puissiez détenir.	Kuelewa batu njo silaha ya nguvu kushindia zote yenye unaweza kuwa nayo.	Kuelewa batu njo silaha ya nguvu kushindia zote yenye unaweza kuwa nayo.
Je n'ai rien de mieux à faire.	Sina ya maana zaidi ya kufanya.	Sina ya maana zaidi ya kufanya.
Ne crie pas, ou tu es mort.	Usilalamike, ao utakufa.	Usilalamike, ao utakufa.
