verse_key,version_id,lang_code,text
GEN.16.1,93,fr,"Saraï, femme dAbram, ne lui avait point donné denfants. Elle avait une servante égyptienne, nommée Agar."
GEN.16.2,93,fr,"Et Saraï dit à Abram: Voici, lÉternel ma rendue stérile; viens, je te prie, vers ma servante; peut-être aurai-je par elle des enfants. Abram écouta la voix de Saraï."
GEN.16.3,93,fr,"Alors Saraï, femme dAbram, prit Agar, lÉgyptienne, sa servante, et la donna pour femme à Abram, son mari, après quAbram eut habité dix années dans le pays de Canaan."
GEN.16.4,93,fr,"Il alla vers Agar, et elle devint enceinte. Quand elle se vit enceinte, elle regarda sa maîtresse avec mépris."
GEN.16.5,93,fr,"Et Saraï dit à Abram: Loutrage qui mest fait retombe sur toi. Jai mis ma servante dans ton sein; et, quand elle a vu quelle était enceinte, elle ma regardée avec mépris. Que lÉternel soit juge entre moi et toi!."
GEN.16.6,93,fr,"Abram répondit à Saraï: Voici, ta servante est en ton pouvoir, agis à son égard comme tu le trouveras bon. Alors Saraï la maltraita; et Agar senfuit loin delle."
GEN.16.7,93,fr,"Lange de lÉternel la trouva près dune source deau dans le désert, près de la source qui est sur le chemin de Schur."
GEN.16.8,93,fr,"Il dit: Agar, servante de Saraï, doù viens-tu, et où vas-tu? Elle répondit: Je fuis loin de Saraï, ma maîtresse."
GEN.16.9,93,fr,"Lange de lÉternel lui dit: Retourne vers ta maîtresse, et humilie-toi sous sa main."
GEN.16.10,93,fr,"Lange de lÉternel lui dit: Je multiplierai ta postérité, et elle sera si nombreuse quon ne pourra la compter."
GEN.16.11,93,fr,"Lange de lÉternel lui dit: Voici, tu es enceinte, et tu enfanteras un fils, à qui tu donneras le nom dIsmaël; car lÉternel ta entendue dans ton affliction."
GEN.16.12,93,fr,"Il sera comme un âne sauvage; sa main sera contre tous, et la main de tous sera contre lui; et il habitera en face de tous ses frères."
GEN.16.13,93,fr,"Elle appela Atta-El-roï le nom de lÉternel qui lui avait parlé; car elle dit: Ai-je rien vu ici, après quil ma vue?."
GEN.16.14,93,fr,Cest pourquoi lon a appelé ce puits le puits de Lachaï-roï; il est entre Kadès et Bared.
GEN.16.15,93,fr,Agar enfanta un fils à Abram; et Abram donna le nom dIsmaël au fils quAgar lui enfanta.
GEN.16.16,93,fr,Abram était âgé de quatre-vingt-six ans lorsquAgar enfanta Ismaël à Abram.
GEN.13.1,93,fr,"Abram remonta dÉgypte vers le midi, lui, sa femme, et tout ce qui lui appartenait, et Lot avec lui."
GEN.13.2,93,fr,"Abram était très riche en troupeaux, en argent et en or."
GEN.13.3,93,fr,"Il dirigea ses marches du midi jusquà Béthel, jusquau lieu où était sa tente au commencement, entre Béthel et Aï."
GEN.13.4,93,fr,"au lieu où était lautel quil avait fait précédemment. Et là, Abram invoqua le nom de lÉternel."
GEN.13.5,93,fr,"Lot, qui voyageait avec Abram, avait aussi des brebis, des bœufs et des tentes."
GEN.13.6,93,fr,"Et la contrée était insuffisante pour quils demeurassent ensemble, car leurs biens étaient si considérables quils ne pouvaient demeurer ensemble."
GEN.13.7,93,fr,Il y eut querelle entre les bergers des troupeaux dAbram et les bergers des troupeaux de Lot. Les Cananéens et les Phérésiens habitaient alors dans le pays.
GEN.13.8,93,fr,"Abram dit à Lot: Quil ny ait point, je te prie, de dispute entre moi et toi, ni entre mes bergers et tes bergers; car nous sommes frères."
GEN.13.9,93,fr,"Tout le pays nest-il pas devant toi? Sépare-toi donc de moi: si tu vas à gauche, jirai à droite; si tu vas à droite, jirai à gauche."
GEN.13.10,93,fr,"Lot leva les yeux, et vit toute la plaine du Jourdain, qui était entièrement arrosée. Avant que lÉternel eût détruit Sodome et Gomorrhe, cétait, jusquà Tsoar, comme un jardin de lÉternel, comme le pays dÉgypte."
GEN.13.11,93,fr,"Lot choisit pour lui toute la plaine du Jourdain, et il savança vers lorient. Cest ainsi quils se séparèrent lun de lautre."
GEN.13.12,93,fr,"Abram habita dans le pays de Canaan; et Lot habita dans les villes de la plaine, et dressa ses tentes jusquà Sodome."
GEN.13.13,93,fr,"Les gens de Sodome étaient méchants, et de grands pécheurs contre lÉternel."
GEN.13.14,93,fr,"LÉternel dit à Abram, après que Lot se fut séparé de lui: Lève les yeux, et, du lieu où tu es, regarde vers le nord et le midi, vers lorient et loccident;."
GEN.13.15,93,fr,"car tout le pays que tu vois, je le donnerai à toi et à ta postérité pour toujours."
GEN.13.16,93,fr,"Je rendrai ta postérité comme la poussière de la terre, en sorte que, si quelquun peut compter la poussière de la terre, ta postérité aussi sera comptée."
GEN.13.17,93,fr,"Lève-toi, parcours le pays dans sa longueur et dans sa largeur; car je te le donnerai."
GEN.13.18,93,fr,"Abram leva ses tentes, et vint habiter parmi les chênes de Mamré, qui sont près dHébron. Et il bâtit là un autel à lÉternel."
GEN.4.1,93,fr,"Adam connut Ève, sa femme; elle conçut, et enfanta Caïn et elle dit: Jai formé un homme avec laide de lÉternel."
GEN.4.2,93,fr,"Elle enfanta encore son frère Abel. Abel fut berger, et Caïn fut laboureur."
GEN.4.3,93,fr,"Au bout de quelque temps, Caïn fit à lÉternel une offrande des fruits de la terre;."
GEN.4.4,93,fr,"et Abel, de son côté, en fit une des premiers-nés de son troupeau et de leur graisse. LÉternel porta un regard favorable sur Abel et sur son offrande;."
GEN.4.5,93,fr,"mais il ne porta pas un regard favorable sur Caïn et sur son offrande. Caïn fut très irrité, et son visage fut abattu."
GEN.4.6,93,fr,"Et lÉternel dit à Caïn: Pourquoi es-tu irrité, et pourquoi ton visage est-il abattu?."
GEN.4.7,93,fr,"Certainement, si tu agis bien, tu relèveras ton visage, et si tu agis mal, le péché se couche à la porte, et ses désirs se portent vers toi: mais toi, domine sur lui."
GEN.4.8,93,fr,"Cependant, Caïn adressa la parole à son frère Abel; mais, comme ils étaient dans les champs, Caïn se jeta sur son frère Abel, et le tua."
GEN.4.9,93,fr,LÉternel dit à Caïn: Où est ton frère Abel? Il répondit: Je ne sais pas; suis-je le gardien de mon frère?.
GEN.4.10,93,fr,Et Dieu dit: Quas-tu fait? La voix du sang de ton frère crie de la terre jusquà moi.
GEN.4.11,93,fr,"Maintenant, tu seras maudit de la terre qui a ouvert sa bouche pour recevoir de ta main le sang de ton frère."
GEN.4.12,93,fr,"Quand tu cultiveras le sol, il ne te donnera plus sa richesse. Tu seras errant et vagabond sur la terre."
GEN.4.13,93,fr,Caïn dit à lÉternel: Mon châtiment est trop grand pour être supporté.
GEN.4.14,93,fr,"Voici, tu me chasses aujourdhui de cette terre; je serai caché loin de ta face, je serai errant et vagabond sur la terre, et quiconque me trouvera me tuera."
GEN.4.15,93,fr,"LÉternel lui dit: Si quelquun tuait Caïn, Caïn serait vengé sept fois. Et lÉternel mit un signe sur Caïn pour que quiconque le trouverait ne le tuât point."
GEN.4.16,93,fr,"Puis, Caïn séloigna de la face de lÉternel, et habita dans la terre de Nod, à lorient dÉden."
GEN.4.17,93,fr,"Caïn connut sa femme; elle conçut, et enfanta Hénoc. Il bâtit ensuite une ville, et il donna à cette ville le nom de son fils Hénoc."
GEN.4.18,93,fr,"Hénoc engendra Irad, Irad engendra Mehujaël, Mehujaël engendra Metuschaël, et Metuschaël engendra Lémec."
GEN.4.19,93,fr,"Lémec prit deux femmes: le nom de lune était Ada, et le nom de lautre Tsilla."
GEN.4.20,93,fr,Ada enfanta Jabal: il fut le père de ceux qui habitent sous des tentes et près des troupeaux.
GEN.4.21,93,fr,Le nom de son frère était Jubal: il fut le père de tous ceux qui jouent de la harpe et du chalumeau.
GEN.4.22,93,fr,"Tsilla, de son côté, enfanta Tubal-Caïn, qui forgeait tous les instruments dairain et de fer. La sœur de Tubal-Caïn était Naama."
